Date,Vues 30j,Spectateurs 30j,Interactions 30j,Comptes ayant interagi 30j,Visites profil 30j,Liens externes 30j,Followers,Vues 7j,Spectateurs 7j,Interactions 7j,Comptes ayant interagi 7j,Visites profil 7j,Liens externes 7j,Non-followers vues 30j,Reels vues 30j,Top vues 30j,Top vues 7j
14/09/2026,146356,76218,4766,2851,781,13,2586,,,,,,,,,,
15/09/2026,142031,74672,4015,2414,753,12,2597,28572,17424,541,324,148,0,90.8,95.2,36900@25/08 11200@25/08 10800@25/08 8100@19/08 7100@14/09,7100@14/09 3200@10/09 1700@13/09 930@10/09 861@11/09
16/09/2026,140089,73348,3769,2204,754,12,2600,28743,17590,565,328,155,1,90.5,94.9,37100@25/08 11500@25/08 10800@25/08 8100@19/08 7400@14/09,7400@14/09 3200@10/09 1800@13/09 947@10/09 877@11/09
